arrest_id,prisoner_id,weight,height,arrest_date,bond_amount,release_flag
A-26399,P-19173,135,163.64000000000001,2018-07-08,8500,0
A-24848,P-19173,140,164.64000000000001,2018-07-25,50000,1
A-11376,P-06254,230,182.34,2018-02-15,3500,1
A-01203,P-06254,215,183.34,2018-06-15,3500,1
A-28617,P-06254,205,178.34,2019-03-09,5000,1
A-23731,P-02918,140,153.86,2017-11-14,1000,1
A-27876,P-02918,120,158.56,2018-03-21,2000,0
A-07130,P-02918,100,154.86,2018-07-03,4500,1
A-15055,P-02918,100,144.86,2019-03-20,750,1
A-24677,P-02918,125,161.48,2019-07-19,500,1
A-26487,P-05891,220,187.42000000000002,2019-07-08,0,1
A-03901,P-13539,140,162.02,2018-12-23,2500,1
A-17279,P-13539,150,158.48,2019-07-15,0,1
A-11591,P-18983,140,191.96,2018-06-13,500,1
A-03600,P-18983,160,192.96,2018-09-13,2000,1
A-23410,P-11163,175,172.72,2017-07-09,5000,1
A-17654,P-07783,140,171.72,2018-06-24,2000,1
A-15793,P-00172,175,174.8,2018-11-29,1500,1
A-30696,P-17451,225,176.8,2018-01-14,5000,0
A-03904,P-17451,225,173.8,2018-01-08,3000,1
A-26860,P-17451,225,175.8,2018-03-14,6000,0
A-02012,P-04795,160,166.18,2017-09-22,2000,1
A-04447,P-16546,120,158.02,2018-05-13,2500,1
A-08576,P-14550,217,190.58,2019-06-05,2000,0
A-19918,P-17589,165,185.34,2017-12-14,1500,1
A-16339,P-14135,177,186.42000000000002,2019-06-05,0,1
A-19698,P-13653,205,171.64000000000001,2018-05-15,6000,1
A-26147,P-13653,195,165.1,2018-10-15,17000,1
A-21702,P-17081,165,173.26,2018-12-29,3000,1
A-31598,P-13481,200,168.64000000000001,2017-07-02,1000,1
A-20204,P-05487,170,172.8,2019-04-29,3000,1
A-12478,P-07143,135,158.02,2018-11-13,1500,1
A-31682,P-05662,130,173.72,2018-10-12,3000,1
A-10873,P-08733,195,185.42000000000002,2018-05-04,3000,1
A-11107,P-08733,180,185.42000000000002,2018-05-03,40000,0
A-30060,P-08733,230,180.88,2018-04-25,2000,1
A-03359,P-08733,175,187.5,2018-10-30,2000,1
A-07676,P-08733,170,200.58,2017-11-11,500,1
A-07292,P-08733,170,187.88,2017-11-19,1000,1
A-15044,P-08733,170,188.04,2017-11-09,1000,1
A-12460,P-08733,180,188.5,2017-12-27,0,1
A-31829,P-08733,180,186.5,2018-11-05,7500,0
A-27596,P-08733,185,194.5,2019-05-06,15000,0
A-29787,P-10594,145,177.26,2018-11-10,3500,1
A-15207,P-10594,150,182.88,2018-11-23,7000,1
A-00063,P-10594,145,181.8,2019-04-21,0,1
A-03999,P-14542,220,184.88,2017-10-27,0,1
A-18671,P-17126,170,173.26,2018-01-29,157500,1
A-14888,P-13221,170,180.88,2019-05-22,3250,1
A-15642,P-09790,180,173.26,2018-02-08,5000,1
A-03144,P-03010,260,178.88,2018-12-14,2500,0
A-28814,P-05131,140,170.1,2018-03-17,6000,1
A-07643,P-09262,145,167.1,2017-04-20,4000,1
A-01879,P-09262,185,156.02,2017-04-20,3000,1
A-12190,P-08067,205,186.42000000000002,2017-04-04,2500,1
A-11432,P-08067,190,185.88,2017-12-26,500,1
A-26602,P-08067,200,181.42000000000002,2018-03-14,20000,1
A-02637,P-08067,195,180.88,2017-10-20,0,1
A-21742,P-08067,170,181.88,2018-02-10,12500,1
A-15830,P-14688,117,153.48,2017-08-09,33500,1
A-15846,P-08497,155,180.26,2018-06-14,5000,1
A-26873,P-09583,165,155.48,2018-02-25,500,1
A-01734,P-09583,145,161.48,2018-09-05,5000,1
A-15608,P-09583,165,159.02,2018-06-08,2500,1
A-15972,P-09583,160,156.48,2018-06-08,25000,1
A-27499,P-09583,150,161.02,2019-05-28,1500,1
A-18418,P-06975,135,167.1,2018-08-29,125000,1
A-01838,P-14103,180,177.26,2018-11-11,500,1
A-07809,P-15299,220,165.64000000000001,2018-02-21,5000,1
A-03199,P-00578,145,177.72,2019-06-24,1500,1
A-26403,P-17375,140,165.64000000000001,2018-05-03,8000,1
A-19193,P-17375,140,176.72,2018-01-07,500,1
A-29341,P-17375,165,174.72,2019-05-20,2500,1
A-17845,P-15130,250,167.1,2018-10-16,5000,1
A-10044,P-13189,285,183.88,2018-08-11,6500,1
A-22318,P-13189,240,182.96,2019-06-13,72000,1
A-29519,P-03057,150,174.26,2017-08-06,2500,1
A-22731,P-16198,228,181.88,2018-05-28,0,1
A-27275,P-16198,225,185.88,2018-08-31,31000,1
A-28795,P-06112,155,169.18,2018-06-02,100,1
A-12739,P-06112,155,172.64000000000001,2018-08-10,2000,1
A-16459,P-14009,185,171.26,2018-11-13,10000,1
A-13530,P-14009,310,173.18,2019-03-10,10000,1
A-14904,P-14009,200,167.64000000000001,2017-06-03,6000,1
A-04069,P-14009,230,179.26,2017-10-18,600,1
A-17785,P-14009,250,162.64000000000001,2018-02-24,200,1
A-28671,P-14009,205,160.02,2018-07-18,50000,1
A-23220,P-14009,200,171.64000000000001,2018-10-25,105000,1
A-00755,P-14009,205,172.64000000000001,2018-10-19,500,1
A-17057,P-14009,185,175.26,2018-10-31,25000,1
A-24024,P-14009,180,174.26,2018-11-28,4000,1
A-19723,P-14009,300,174.18,2019-07-05,30000,1
A-24123,P-06397,180,173.8,2017-12-27,7500,1
A-21561,P-06397,135,183.34,2017-09-12,5000,1
A-26917,P-06397,180,176.8,2018-01-22,15000,1
A-12358,P-01988,180,182.42000000000002,2019-06-30,1500,1
A-13375,P-19087,160,180.88,2018-12-21,0,1
A-07208,P-03422,240,174.18,2017-04-14,0,1
A-17837,P-03422,300,165.02,2018-09-13,5000,1
A-02069,P-08365,145,171.72,2018-07-04,5500,1
A-10585,P-08365,145,165.18,2018-09-26,40000,1
A-32443,P-09668,230,174.8,2018-10-01,5000,1
A-31330,P-16140,235,183.42000000000002,2018-02-15,1000,1
A-31605,P-10689,175,179.26,2018-09-26,2500,1
A-10325,P-04410,185,164.56,2018-04-14,2000,1
A-32453,P-11700,165,175.34,2018-05-05,500,1
A-16477,P-13862,280,200.58,2017-08-09,15000,1
A-32054,P-13862,295,183.88,2017-08-14,2500,1
A-27131,P-05337,165,179.8,2017-10-10,4000,1
A-12359,P-05337,150,168.72,2019-03-05,7100,1
A-08358,P-14908,160,185.5,2017-09-23,21000,1
A-07976,P-10096,150,164.56,2017-06-11,1500,1
A-25024,P-08106,155,181.8,2017-07-17,1100,1
A-06755,P-03641,147,166.18,2017-09-19,51500,1
A-15466,P-03641,155,167.18,2018-03-10,1500,1
A-31350,P-03641,195,178.26,2018-05-04,1000,1
A-15588,P-03641,137,165.18,2018-01-05,1000,1
A-03708,P-03641,150,167.18,2018-03-11,500,1
A-29598,P-03641,155,167.18,2018-05-25,500,1
A-26368,P-03641,145,167.18,2018-06-16,500,1
A-09385,P-18860,165,164.56,2017-11-05,7500,1
A-23919,P-02376,150,174.26,2018-04-23,1000,1
A-20318,P-08495,135,159.02,2017-05-11,20000,1
A-11734,P-11733,170,170.64000000000001,2017-12-18,1500,1
A-14177,P-11733,160,162.64000000000001,2019-02-20,500,1
A-21011,P-13094,155,170.72,2017-10-26,4500,1
A-22619,P-17835,220,188.04,2017-09-06,3000,1
A-14537,P-17835,230,190.04,2017-10-15,1500,1
A-09394,P-02190,170,179.88,2017-12-11,0,1
A-01751,P-02190,159,184.88,2018-03-02,500,1
A-10761,P-02190,170,184.88,2018-09-24,55000,1
A-08959,P-02689,190,170.64000000000001,2018-06-30,75000,1
A-27170,P-09315,155,172.18,2019-03-11,35000,1
A-11624,P-15529,185,178.8,2018-04-20,500,1
A-09103,P-15529,150,174.18,2018-06-04,1500,1
A-10343,P-15529,165,179.8,2018-09-19,2000,1
A-20965,P-19016,155,168.18,2018-09-18,5000,1
A-03266,P-14533,170,177.88,2017-09-17,500,1
A-20638,P-10162,190,183.42000000000002,2018-09-18,0,1
A-11103,P-04378,175,180.8,2019-01-02,10500,1
A-14152,P-02534,130,161.48,2018-12-29,2500,1
A-29105,P-03336,115,158.56,2018-01-19,11000,1
A-11699,P-03336,125,162.56,2017-09-17,1000,1
A-12269,P-10629,155,166.18,2017-07-08,1000,1
A-31695,P-01174,265,200.58,2017-04-04,500,1
A-15222,P-06560,227,159.56,2019-03-02,500,1
A-23254,P-11042,140,155.02,2017-08-01,500,1
A-02618,P-11042,140,170.64000000000001,2017-08-28,5500,1
A-25128,P-11042,160,158.02,2017-11-11,1000,1
A-18372,P-08221,120,162.1,2018-01-03,0,1
A-26893,P-01486,220,173.8,2017-12-28,1500,1
A-09923,P-04777,190,180.8,2018-02-26,7500,1
A-27453,P-07619,165,167.18,2017-04-18,3500,1
A-15330,P-07619,190,162.64000000000001,2017-10-04,7000,1
A-22738,P-07619,182,175.18,2018-09-18,0,1
A-09369,P-07619,150,171.18,2019-05-31,2000,1
A-00304,P-19121,140,172.64000000000001,2019-03-18,2500,1
A-31096,P-02426,115,161.48,2019-04-04,25500,1
A-19468,P-02426,100,160.02,2018-04-26,12500,1
A-02145,P-16118,190,184.88,2018-08-10,500,1
A-23714,P-12737,170,166.64000000000001,2018-09-18,2500,1
A-10152,P-02518,185,169.72,2017-09-24,150000,0
A-28191,P-01451,176,174.8,2019-03-09,70000,0
A-13691,P-04084,165,167.64000000000001,2018-09-14,1500,1
A-20164,P-08016,130,163.64000000000001,2017-04-23,5000,1
A-08324,P-07235,205,183.88,2017-06-26,30487.5,0
A-31544,P-14285,190,186.96,2017-05-23,900,1
A-25251,P-04261,160,177.26,2018-06-02,0,1
A-21951,P-01135,155,164.1,2018-12-04,20000,0
A-01459,P-01135,150,170.1,2018-01-25,40000,1
A-01597,P-01135,125,168.1,2019-07-16,5000,1
A-04050,P-16462,205,186.42000000000002,2019-02-15,2500,1
A-13332,P-18251,150,169.72,2018-04-03,6500,1
A-26696,P-06777,145,171.72,2018-02-06,2000,1
A-28427,P-06777,150,171.64000000000001,2018-04-29,4500,1
A-10600,P-14821,200,186.88,2017-04-14,5250,0
A-22781,P-09728,150,175.34,2017-06-20,20000,1
A-17513,P-04172,175,174.8,2018-04-17,8000,1
A-25231,P-08094,210,171.26,2017-11-18,8250,1
A-03932,P-08094,215,186.88,2017-12-26,16500,1
A-17163,P-08094,235,172.26,2018-02-06,33000,0
A-11835,P-02136,150,176.72,2017-05-11,1000,1
A-02982,P-04949,160,159.02,2018-12-05,5000,1
A-18399,P-14531,190,186.88,2019-07-11,1000,1
A-05860,P-04711,140,168.18,2018-06-10,8000,0
A-29628,P-15954,160,176.72,2018-10-28,1500,1
A-20734,P-15954,160,174.72,2019-02-08,63000,0
A-18672,P-00806,175,187.96,2019-07-01,3500,1
A-25321,P-00806,180,192.96,2017-10-02,500,1
A-04038,P-00806,175,192.96,2019-08-04,500,1
A-20548,P-09234,140,170.72,2017-06-04,2000,1
A-13600,P-12009,210,175.8,2019-05-03,12500,0
A-29348,P-12009,220,176.26,2017-07-23,75500,0
A-01531,P-12009,185,175.8,2018-08-14,10000,1
A-03470,P-12909,175,187.88,2019-05-21,1500,1
A-19869,P-12909,160,180.88,2018-04-13,8500,1
A-32265,P-12909,160,172.8,2018-07-02,5000,1
A-00512,P-09581,110,156.02,2017-05-14,2000,1
A-28842,P-09581,100,152.4,2019-05-16,0,1
A-18773,P-16976,140,157.56,2018-08-06,2500,1
A-16895,P-11691,130,178.26,2017-04-02,2000,1
A-15662,P-11691,170,173.26,2017-08-11,4000,1
A-31326,P-13281,205,167.72,2019-05-15,6500,1
A-02471,P-04029,255,185.88,2019-05-16,1200,1
A-31921,P-14469,150,175.72,2017-04-04,2500,1
A-24791,P-14469,145,173.72,2017-05-12,2000,0
A-08639,P-14469,150,174.18,2017-08-28,5000,0
A-16257,P-14469,185,172.18,2019-02-11,2500,1
A-03273,P-04239,177,152.94,2017-04-22,0,1
A-01208,P-00317,150,164.64000000000001,2017-04-10,51000,0
A-32191,P-00317,135,162.64000000000001,2018-07-11,5000,1
A-04733,P-00317,155,172.64000000000001,2018-12-17,4000,0
A-14875,P-00977,150,177.26,2018-12-22,2000,1
A-19945,P-15783,155,169.72,2019-01-13,2500,1
A-26017,P-07433,170,164.1,2018-11-18,2500,1
A-28071,P-04774,145,162.1,2017-10-04,0,1
A-30117,P-07224,185,170.72,2019-07-26,5000,1
A-31242,P-05706,170,168.72,2017-05-02,10000,1
A-13969,P-12275,150,165.64000000000001,2018-04-17,4000,1
A-30639,P-15647,145,172.64000000000001,2019-01-05,1500,1
A-28426,P-15647,145,170.64000000000001,2019-01-19,2000,1
A-26066,P-15647,125,164.64000000000001,2019-07-01,6500,1
A-23466,P-03598,175,179.26,2018-11-24,3000,0
A-21888,P-11595,204,188.96,2017-09-16,1250,1
A-18666,P-17500,205,185.88,2017-12-13,0,1
A-28296,P-06015,175,167.72,2018-01-11,3000,1
A-05535,P-14393,170,179.8,2018-03-24,6000,1
A-27747,P-08189,200,172.26,2018-11-22,3000,1
A-23772,P-02160,170,184.88,2017-12-01,500,1
A-16621,P-02160,180,180.34,2019-05-01,3000,0
A-19573,P-11263,170,188.5,2017-10-02,5000,1
A-27104,P-13987,180,173.8,2019-07-31,5000,1
A-03476,P-13829,240,161.02,2019-07-12,4000,0
A-19440,P-16479,180,181.8,2018-09-13,3000,1
A-03570,P-16602,180,171.64000000000001,2018-04-18,1500,1
A-13971,P-05714,165,166.18,2017-04-22,500,1
A-15116,P-07517,180,178.26,2019-03-04,3000,1
A-29553,P-02032,150,172.8,2017-12-12,76000,0
A-05180,P-04315,155,163.56,2017-07-01,3500,1
A-09603,P-16139,170,175.34,2018-02-02,2500,1
A-02498,P-07952,190,195.5,2019-02-12,500,1
A-03258,P-10384,185,182.42000000000002,2018-10-15,4500,1
A-09129,P-10384,170,187.88,2018-03-25,2000,1
A-05173,P-10384,195,182.88,2019-05-23,10500,1
A-27402,P-04816,210,178.34,2017-04-25,2500,1
A-10526,P-09555,200,182.88,2017-04-07,526000,0
A-21255,P-07658,100,154.48,2019-03-02,500,1
A-28274,P-16841,140,161.48,2017-12-14,5000,0
A-06378,P-16841,145,165.18,2018-12-07,5000,1
A-26753,P-02471,195,192.96,2018-01-23,162500,1
A-21961,P-02610,170,172.8,2017-04-19,2500,1
A-13216,P-12090,127,168.64000000000001,2017-07-07,1500,1
A-00436,P-18256,135,162.64000000000001,2018-07-22,5500,1
A-09011,P-16881,205,156.02,2017-10-06,500,1
A-19988,P-14316,205,187.88,2017-07-29,1000,1
A-26607,P-10956,160,172.72,2018-07-08,500,1
A-03356,P-10956,155,169.64000000000001,2018-08-10,500,1
A-08998,P-14399,180,180.8,2019-06-07,2000,1
A-10855,P-07427,205,163.02,2017-07-23,500,1
A-31140,P-04052,150,168.18,2017-04-21,2500,1
A-00650,P-18414,150,169.64000000000001,2017-08-14,2000,1
A-10696,P-15157,200,175.72,2018-08-26,0,1
A-21780,P-03706,145,171.64000000000001,2019-05-16,0,1
A-21617,P-02208,110,149.4,2019-05-17,3000,1
A-15711,P-08687,195,165.02,2019-05-21,3000,1
A-30737,P-12597,197,171.72,2017-12-17,1500,1
A-02329,P-12597,175,176.8,2017-10-16,250,1
A-31783,P-01859,155,161.56,2019-03-08,1000,0
A-05105,P-06490,140,152.86,2017-10-19,1000,1
A-25875,P-11896,165,177.26,2017-05-09,1500,1
A-22504,P-02168,180,185.42000000000002,2018-08-29,1000,1
A-02654,P-07408,145,161.1,2019-07-31,5000,1
A-32641,P-04931,280,181.88,2017-04-20,1250,1
A-04605,P-16676,175,179.26,2017-06-13,30000,1
A-04647,P-08650,165,177.88,2017-06-15,7500,1
A-28119,P-18657,205,172.18,2019-04-14,3000,1
A-30073,P-01967,160,181.34,2017-10-08,500,1
A-10933,P-05644,150,162.64000000000001,2017-09-08,15000,1
A-23094,P-05644,150,171.64000000000001,2018-12-07,0,1
A-08510,P-02985,190,179.8,2019-06-28,2500,1
A-17555,P-11233,185,178.8,2018-09-04,1000,1
A-24970,P-11233,170,180.8,2018-12-18,2500,1
A-08617,P-11233,170,179.8,2019-01-07,4000,1
A-18743,P-11233,170,187.88,2019-04-04,2000,1
A-09006,P-11233,185,176.8,2018-07-08,3500,1
A-08448,P-11233,170,173.8,2018-10-05,1000,1
A-08844,P-11233,185,174.8,2019-01-24,2000,1
A-27168,P-17272,250,180.42000000000002,2019-01-20,1000,1
A-29479,P-14477,165,167.18,2018-04-20,0,1
A-29235,P-16751,90,149.78,2018-04-30,17000,1
A-04551,P-16751,80,142.78,2017-11-01,2000,1
A-26012,P-16751,95,147.78,2017-11-02,5000,1
A-18744,P-16751,95,140.78,2018-03-31,19000,0
A-05778,P-09025,120,159.94,2017-04-25,50,0
A-05727,P-09025,125,158.94,2017-08-02,0,1
A-01025,P-09025,125,168.1,2017-08-14,15500,0
A-24226,P-17071,191,175.34,2018-04-01,213250,0
A-30324,P-17071,176,179.34,2018-04-16,150000,1
A-31269,P-11565,155,165.02,2018-01-04,500,0
A-24178,P-00987,180,175.18,2018-09-05,2500,0
A-12085,P-00987,165,173.18,2017-04-03,9000,1
A-11226,P-00987,170,170.64000000000001,2018-05-09,2500,1
A-21845,P-00987,165,165.1,2018-08-15,4000,0
A-01427,P-08721,165,187.5,2018-07-20,17500,1
A-17179,P-08721,170,187.42000000000002,2018-07-24,36000,1
A-16949,P-08721,165,187.96,2019-02-08,1500,1
A-22613,P-08721,165,184.96,2019-05-23,48000,0
A-30532,P-18788,135,167.64000000000001,2017-11-12,35000,0
A-16395,P-18788,148,167.64000000000001,2018-11-28,10000,0
A-01873,P-05638,255,174.26,2018-09-15,135000,0
A-20835,P-05638,250,175.26,2018-10-01,100000,1
A-03885,P-14093,160,177.88,2017-10-02,6000,0
A-26572,P-14093,170,177.88,2018-01-02,1500,0
A-17805,P-03189,135,177.72,2017-11-30,12000,1
A-21820,P-07428,145,158.02,2019-06-09,5000,1
A-04218,P-06308,200,182.34,2017-12-07,1500,0
A-28002,P-00672,105,159.48,2018-05-14,1000,0
A-22768,P-00672,130,159.48,2018-12-28,2500,1
A-28681,P-10809,155,179.88,2018-01-18,0,1
A-31331,P-10809,155,177.8,2018-03-24,0,1
A-01996,P-15441,145,170.64000000000001,2017-04-18,33000,1
A-19562,P-15441,145,163.64000000000001,2017-04-23,75000,1
A-21088,P-14018,165,176.26,2019-05-30,2000,1
A-19037,P-13833,365,192.04,2018-10-29,51000,0
A-04916,P-14364,155,167.18,2018-08-21,3000,1
A-12261,P-01502,190,162.1,2017-09-03,4000,1
A-08564,P-14809,155,175.34,2017-11-01,0,1
A-03990,P-14809,150,176.8,2018-01-06,500,1
A-24910,P-05868,130,168.18,2018-04-29,1000,1
A-11522,P-05298,100,155.4,2017-12-05,2000,1
A-28069,P-14211,120,161.56,2019-07-17,1000,1
A-27356,P-03017,150,162.64000000000001,2017-07-05,1000,1
A-16060,P-17593,230,169.64000000000001,2018-08-12,7500,1
A-31570,P-17593,230,164.64000000000001,2018-08-31,15000,1
A-27156,P-17221,190,187.88,2018-05-13,1500,1
A-05833,P-11396,155,173.8,2018-12-12,30500,0
A-15519,P-11396,145,180.8,2017-06-17,5000,0
A-16601,P-11396,160,176.8,2017-07-24,6500,0
A-07999,P-11396,160,170.72,2017-12-28,6000,0
A-29838,P-11396,150,182.8,2018-02-17,18000,0
A-06576,P-11396,150,182.8,2018-07-09,7500,1
A-04092,P-06071,165,170.72,2017-05-25,500,1
A-00517,P-06071,165,178.26,2017-07-30,7500,1
A-31374,P-06071,155,176.26,2017-09-21,14000,1
A-02741,P-06071,155,175.72,2018-02-13,1500,1
A-19629,P-02999,205,187.5,2017-04-23,500,1
A-03456,P-02999,170,189.5,2017-05-30,11500,1
A-00413,P-02999,210,195.5,2017-11-09,15000,0
A-26114,P-02999,190,191.5,2018-09-23,10000,0
A-17042,P-11918,160,171.18,2017-08-16,0,1
A-16916,P-02949,175,178.8,2017-04-12,10000,0
A-28445,P-02949,195,178.26,2017-10-18,50000,1
A-29761,P-13742,190,167.72,2019-03-29,138500,1
A-06886,P-06306,180,176.26,2019-04-03,2000,1
A-02600,P-01911,250,172.26,2018-06-10,2500,1
A-11803,P-01874,180,179.34,2017-04-19,1500,1
A-22897,P-01874,170,183.88,2018-03-10,1000,1
A-31946,P-01874,190,184.96,2019-05-31,8500,1
A-22263,P-07931,150,188.96,2018-07-29,5000,1
A-02613,P-12641,215,183.96,2017-06-01,25000,1
A-02212,P-16583,130,175.18,2017-05-04,11000,1
A-18042,P-16583,145,168.64000000000001,2018-01-30,10000,1
A-04203,P-16583,140,175.18,2018-03-12,5000,1
A-10060,P-16583,147,169.72,2018-09-23,75000,0
A-08523,P-11960,150,189.42000000000002,2017-05-18,54000,0
A-30528,P-06293,260,175.34,2018-12-24,4000,1
A-26303,P-11256,158,187.88,2017-10-23,20000,0
A-02877,P-11256,185,182.88,2018-10-06,3000,1
A-13183,P-11256,160,183.88,2019-08-05,4000,1
A-18693,P-02728,145,164.1,2018-08-10,500,1
A-29532,P-00151,295,179.26,2019-07-15,2500,1
A-00993,P-16743,210,193.04,2017-12-02,500,1
A-29230,P-17218,175,172.26,2019-04-21,0,1
A-02883,P-10766,187,188.96,2019-04-10,1250,1
A-31340,P-03354,185,166.18,2018-01-24,3000,1
A-06897,P-10513,162,182.34,2018-04-11,6000,1
A-17241,P-10513,170,165.18,2018-04-23,10000,0
A-27785,P-10513,160,182.34,2018-07-05,20000,0
A-04075,P-01058,170,166.18,2017-06-03,1500,1
A-06361,P-09240,150,165.64000000000001,2018-09-10,63500,0
A-19065,P-09240,140,182.8,2018-12-16,1000,1
A-12106,P-04157,165,186.88,2018-09-25,3000,0
A-09735,P-00138,205,182.42000000000002,2018-07-26,15000,1
A-31231,P-10034,195,178.88,2019-04-17,0,1
A-11155,P-14475,140,172.72,2017-04-28,25000,0
A-32201,P-14475,170,166.18,2017-09-14,25000,1
A-29244,P-12151,145,176.8,2017-11-24,3000,1
A-06304,P-10101,190,173.72,2017-07-10,500,1
A-10943,P-10101,200,175.72,2017-10-21,2500,1
A-26606,P-07380,150,180.8,2018-12-04,6000,1
A-07961,P-07380,155,176.26,2018-05-11,500,1
A-15087,P-07380,150,179.26,2019-02-24,1000000,0
A-15017,P-15067,170,189.42000000000002,2019-08-10,18000,0
A-09009,P-10289,170,184.88,2017-06-06,7000,0
A-17331,P-10289,185,177.34,2017-07-23,5500,0
A-26320,P-10289,170,185.88,2017-08-06,2000,1
A-31685,P-10289,170,170.26,2018-01-04,8500,0
A-07982,P-10289,180,174.26,2018-01-29,4000,1
A-27707,P-10289,155,173.26,2018-01-11,2250,1
A-30119,P-10289,140,171.26,2018-02-08,5500,0
A-26609,P-10289,150,176.26,2018-02-20,3000,1
A-18234,P-10289,170,175.34,2018-03-09,2500,0
A-01493,P-10289,165,183.34,2018-03-17,1000,1
A-25209,P-10289,160,183.34,2018-06-25,40500,0
A-17851,P-10289,165,180.34,2018-07-05,25000,1
A-01033,P-10289,160,175.34,2018-06-16,2500,1
A-13063,P-10289,165,177.34,2018-06-28,3000,1
A-10642,P-10289,170,181.34,2018-07-28,52500,1
A-13354,P-00126,230,171.18,2019-07-04,2500,1
A-00274,P-18520,200,169.1,2018-08-08,7500,1
A-26757,P-13792,185,185.88,2017-12-07,4000,1
A-22124,P-13792,210,187.88,2018-08-15,2000,1
A-17197,P-16992,200,169.18,2018-04-19,1500,1
A-17566,P-07765,135,149.4,2019-07-09,1500,0
A-31573,P-06567,217,175.34,2018-09-15,0,1
A-24094,P-12877,185,172.72,2018-03-19,7500,1
A-23691,P-12877,180,169.72,2017-10-08,1000,1
A-00389,P-06401,235,181.8,2019-03-04,15000,1
A-29585,P-02473,175,197.04,2017-05-15,17000,1
A-02139,P-02473,190,200.58,2017-11-25,500,1
A-01221,P-02473,175,196.58,2019-04-13,5500,1
A-05246,P-15355,205,178.88,2018-07-22,2000,1
A-29511,P-02203,165,167.64000000000001,2017-07-27,10000,1
A-30701,P-01422,205,180.42000000000002,2017-10-05,10000,0
A-24114,P-10198,160,190.5,2018-12-17,11000,0
A-04699,P-10269,145,174.18,2018-01-08,1000,1
A-24840,P-15953,130,159.48,2017-04-17,4000,1
A-31701,P-15953,140,161.48,2017-05-27,55000,0
A-05776,P-15953,150,160.48,2018-10-22,3000,1
A-02646,P-06714,170,185.34,2017-05-11,16000,1
A-17888,P-19046,135,161.02,2018-11-06,150000,1
A-20678,P-08799,100,165.02,2018-06-28,3000,1
A-31706,P-08799,125,150.94,2019-03-15,500,1
A-21545,P-05546,155,180.26,2019-07-23,2500,1
A-31887,P-16707,225,173.72,2018-07-27,0,1
A-31969,P-12773,115,159.94,2018-07-22,500,1
A-15911,P-12840,150,172.18,2017-07-03,2000,1
A-02521,P-03297,280,167.1,2019-07-11,3000,1
A-15956,P-01337,173,181.42000000000002,2018-01-05,500,0
A-11440,P-04907,200,164.1,2018-04-28,2000,1
A-24972,P-18045,155,172.8,2018-06-13,20000,1
A-05792,P-10643,170,175.8,2017-11-20,1000,1
A-21462,P-10643,175,181.8,2019-04-29,16500,1
